0.054681;-0.30094
-0.58439;-0.73444
-1.0085;0.33148
0.36649;0.1998
-0.036448;-0.45765
1.0234;0.56897
0.98586;-0.31724
0.57096;-0.045343
-0.2288;-0.14017
-0.084301;0.17302
0.57259;0.62285
0.49597;0.15706
-0.44131;0.13657
0.043976;0.06999
0.057455;-0.38615
-0.50167;-0.13103
0.5701;-0.60656
-0.91014;0.49318
-0.60789;-0.10113
-0.05092;-0.62682
0.049138;0.36407
-0.59671;0.14479
0.52761;0.28224
-0.11864;0.069608
-0.44973;-0.51409
0.042279;-0.77656
-0.26048;-0.22543
-0.95404;0.4178
-1.0153;-0.5763
0.10489;0.22313
